# HF gains obtained from A. Krohotin (krohotin@mail.cern.ch) on June 30, 2006
# 66 channels are missed due to missed QIE calibrations
# 9 channels are set to 0 due to missed source measurements
# cap0=cap1=cap2=cap3
#
#  eta  phi  dep  det     cap0     cap1     cap2     cap3  
-32   11   2   HF   0.0905647   0.0905647   0.0905647   0.0905647
-33   11   1   HF   0.0781103   0.0781103   0.0781103   0.0781103
-33   11   2   HF   0.0863393   0.0863393   0.0863393   0.0863393
-34   11   1   HF   0.0755492   0.0755492   0.0755492   0.0755492
-34   11   2   HF   0.111816   0.111816   0.111816   0.111816
-35   11   1   HF   0.0764281   0.0764281   0.0764281   0.0764281
-35   11   2   HF   0.0940214   0.0940214   0.0940214   0.0940214
-36   11   1   HF   0.0845023   0.0845023   0.0845023   0.0845023
-36   11   2   HF   0.0989757   0.0989757   0.0989757   0.0989757
-37   11   1   HF   0.0680994   0.0680994   0.0680994   0.0680994
-37   11   2   HF   0.126142   0.126142   0.126142   0.126142
-38   11   1   HF   0.0789335   0.0789335   0.0789335   0.0789335
-38   11   2   HF   0.151065   0.151065   0.151065   0.151065
-39   11   1   HF   0.0864835   0.0864835   0.0864835   0.0864835
-39   11   2   HF   0.159547   0.159547   0.159547   0.159547
-29   13   1   HF   0.0719118   0.0719118   0.0719118   0.0719118
-29   13   2   HF   0.109154   0.109154   0.109154   0.109154
-30   13   1   HF   0.0604873   0.0604873   0.0604873   0.0604873
-30   13   2   HF   0.0924255   0.0924255   0.0924255   0.0924255
-31   13   1   HF   0.0610129   0.0610129   0.0610129   0.0610129
-31   13   2   HF   0.0948853   0.0948853   0.0948853   0.0948853
-32   13   1   HF   0.0670244   0.0670244   0.0670244   0.0670244
-32   13   2   HF   0.0855328   0.0855328   0.0855328   0.0855328
-33   13   1   HF   0.0864464   0.0864464   0.0864464   0.0864464
-33   13   2   HF   0.118957   0.118957   0.118957   0.118957
-34   13   1   HF   0.0692797   0.0692797   0.0692797   0.0692797
-34   13   2   HF   0.115973   0.115973   0.115973   0.115973
-35   13   1   HF   0.0787661   0.0787661   0.0787661   0.0787661
-35   13   2   HF   0.11418   0.11418   0.11418   0.11418
-36   13   1   HF   0.0697353   0.0697353   0.0697353   0.0697353
-36   13   2   HF   0.13156   0.13156   0.13156   0.13156
-37   13   1   HF   0.074657   0.074657   0.074657   0.074657
-37   13   2   HF   0.150113   0.150113   0.150113   0.150113
-38   13   1   HF   0.0805605   0.0805605   0.0805605   0.0805605
-38   13   2   HF   0.14086   0.14086   0.14086   0.14086
-39   13   1   HF   0.0888439   0.0888439   0.0888439   0.0888439
-39   13   2   HF   0.129195   0.129195   0.129195   0.129195
-40   13   1   HF   0.0993939   0.0993939   0.0993939   0.0993939
-40   13   2   HF   0.164411   0.164411   0.164411   0.164411
-41   13   1   HF   0.079226   0.079226   0.079226   0.079226
-41   13   2   HF   0.154041   0.154041   0.154041   0.154041
-29   15   1   HF   0.0666101   0.0666101   0.0666101   0.0666101
-29   15   2   HF   0.107483   0.107483   0.107483   0.107483
-30   15   1   HF   0.0760537   0.0760537   0.0760537   0.0760537
-30   15   2   HF   0.109465   0.109465   0.109465   0.109465
-31   15   1   HF   0.0839834   0.0839834   0.0839834   0.0839834
-31   15   2   HF   0.108849   0.108849   0.108849   0.108849
-32   15   1   HF   0.105685   0.105685   0.105685   0.105685
-32   15   2   HF   0.112707   0.112707   0.112707   0.112707
-33   15   1   HF   0.0793058   0.0793058   0.0793058   0.0793058
-33   15   2   HF   0.105814   0.105814   0.105814   0.105814
-34   15   1   HF   0.0889228   0.0889228   0.0889228   0.0889228
-34   15   2   HF   0.112121   0.112121   0.112121   0.112121
-35   15   1   HF   0.0864903   0.0864903   0.0864903   0.0864903
-35   15   2   HF   0.116679   0.116679   0.116679   0.116679
-36   15   1   HF   0.0917145   0.0917145   0.0917145   0.0917145
-36   15   2   HF   0.125053   0.125053   0.125053   0.125053
-37   15   1   HF   0.0996692   0.0996692   0.0996692   0.0996692
-37   15   2   HF   0.153763   0.153763   0.153763   0.153763
-38   15   1   HF   0.0864164   0.0864164   0.0864164   0.0864164
-38   15   2   HF   0.110127   0.110127   0.110127   0.110127
-39   15   1   HF   0.0731988   0.0731988   0.0731988   0.0731988
-39   15   2   HF   0.153902   0.153902   0.153902   0.153902
-29   17   1   HF   0.0720018   0.0720018   0.0720018   0.0720018
-29   17   2   HF   0.103807   0.103807   0.103807   0.103807
-30   17   1   HF   0.0735301   0.0735301   0.0735301   0.0735301
-30   17   2   HF   0.104436   0.104436   0.104436   0.104436
-31   17   1   HF   0.0727206   0.0727206   0.0727206   0.0727206
-31   17   2   HF   0.102483   0.102483   0.102483   0.102483
-32   17   1   HF   0.0604958   0.0604958   0.0604958   0.0604958
-32   17   2   HF   0.134332   0.134332   0.134332   0.134332
-33   17   1   HF   0.0719665   0.0719665   0.0719665   0.0719665
-33   17   2   HF   0.165752   0.165752   0.165752   0.165752
-34   17   1   HF   0.0778876   0.0778876   0.0778876   0.0778876
-34   17   2   HF   0.115247   0.115247   0.115247   0.115247
-35   17   1   HF   0.0752659   0.0752659   0.0752659   0.0752659
-35   17   2   HF   0.108471   0.108471   0.108471   0.108471
-36   17   1   HF   0.0636686   0.0636686   0.0636686   0.0636686
-36   17   2   HF   0.115303   0.115303   0.115303   0.115303
-37   17   1   HF   0.0845261   0.0845261   0.0845261   0.0845261
-37   17   2   HF   0.130911   0.130911   0.130911   0.130911
-38   17   1   HF   0.113717   0.113717   0.113717   0.113717
-38   17   2   HF   0.232167   0.232167   0.232167   0.232167
-39   17   1   HF   0.118115   0.118115   0.118115   0.118115
-39   17   2   HF   0.132277   0.132277   0.132277   0.132277
-40   17   1   HF   0.101727   0.101727   0.101727   0.101727
-40   17   2   HF   0.146422   0.146422   0.146422   0.146422
-41   17   1   HF   0.0921711   0.0921711   0.0921711   0.0921711
-41   17   2   HF   0.189761   0.189761   0.189761   0.189761
-29   19   1   HF   0.0627313   0.0627313   0.0627313   0.0627313
-29   19   2   HF   0.0891196   0.0891196   0.0891196   0.0891196
-30   19   1   HF   0.0681628   0.0681628   0.0681628   0.0681628
-30   19   2   HF   0.105526   0.105526   0.105526   0.105526
-31   19   1   HF   0.0609085   0.0609085   0.0609085   0.0609085
-31   19   2   HF   0.0860695   0.0860695   0.0860695   0.0860695
-32   19   1   HF   0.0555478   0.0555478   0.0555478   0.0555478
-32   19   2   HF   0.0858209   0.0858209   0.0858209   0.0858209
-33   19   1   HF   0.0669809   0.0669809   0.0669809   0.0669809
-33   19   2   HF   0.089565   0.089565   0.089565   0.089565
-34   19   1   HF   0.07685   0.07685   0.07685   0.07685
-34   19   2   HF   0.112018   0.112018   0.112018   0.112018
-35   19   1   HF   0.0719351   0.0719351   0.0719351   0.0719351
-35   19   2   HF   0.144316   0.144316   0.144316   0.144316
-36   19   1   HF   0.0603161   0.0603161   0.0603161   0.0603161
-36   19   2   HF   0.121559   0.121559   0.121559   0.121559
-37   19   1   HF   0.0755395   0.0755395   0.0755395   0.0755395
-37   19   2   HF   0.120538   0.120538   0.120538   0.120538
-38   19   1   HF   0.0998353   0.0998353   0.0998353   0.0998353
-38   19   2   HF   0.1085   0.1085   0.1085   0.1085
-39   19   1   HF   0.06602   0.06602   0.06602   0.06602
-39   19   2   HF   0.113189   0.113189   0.113189   0.113189
-29   21   1   HF   0.0616307   0.0616307   0.0616307   0.0616307
-29   21   2   HF   0.0986617   0.0986617   0.0986617   0.0986617
-30   21   1   HF   0.0640332   0.0640332   0.0640332   0.0640332
-30   21   2   HF   0.0866905   0.0866905   0.0866905   0.0866905
-31   21   1   HF   0.0751614   0.0751614   0.0751614   0.0751614
-31   21   2   HF   0.0883415   0.0883415   0.0883415   0.0883415
-32   21   1   HF   0.0544256   0.0544256   0.0544256   0.0544256
-32   21   2   HF   0.0751578   0.0751578   0.0751578   0.0751578
-33   21   1   HF   0.0730324   0.0730324   0.0730324   0.0730324
-33   21   2   HF   0.115335   0.115335   0.115335   0.115335
-34   21   1   HF   0.0653746   0.0653746   0.0653746   0.0653746
-34   21   2   HF   0.135444   0.135444   0.135444   0.135444
-35   21   1   HF   0.0603067   0.0603067   0.0603067   0.0603067
-35   21   2   HF   0.129713   0.129713   0.129713   0.129713
-36   21   1   HF   0.0724498   0.0724498   0.0724498   0.0724498
-36   21   2   HF   0.0924755   0.0924755   0.0924755   0.0924755
-37   21   1   HF   0.0806035   0.0806035   0.0806035   0.0806035
-37   21   2   HF   0.13394   0.13394   0.13394   0.13394
-38   21   1   HF   0.0832144   0.0832144   0.0832144   0.0832144
-38   21   2   HF   0.12385   0.12385   0.12385   0.12385
-39   21   1   HF   0.0623815   0.0623815   0.0623815   0.0623815
-39   21   2   HF   0.110795   0.110795   0.110795   0.110795
-40   21   1   HF   0.0946002   0.0946002   0.0946002   0.0946002
-40   21   2   HF   0.156164   0.156164   0.156164   0.156164
-41   21   1   HF   0.0787183   0.0787183   0.0787183   0.0787183
-41   21   2   HF   0.123078   0.123078   0.123078   0.123078
-29   23   1   HF   0.0604316   0.0604316   0.0604316   0.0604316
-29   23   2   HF   0.0917841   0.0917841   0.0917841   0.0917841
-30   23   1   HF   0.0755704   0.0755704   0.0755704   0.0755704
-30   23   2   HF   0.105136   0.105136   0.105136   0.105136
-31   23   1   HF   0.0663248   0.0663248   0.0663248   0.0663248
-31   23   2   HF   0.104028   0.104028   0.104028   0.104028
-32   23   1   HF   0.0603348   0.0603348   0.0603348   0.0603348
-32   23   2   HF   0.120423   0.120423   0.120423   0.120423
-33   23   1   HF   0.0856192   0.0856192   0.0856192   0.0856192
-33   23   2   HF   0.117198   0.117198   0.117198   0.117198
-34   23   1   HF   0.0661643   0.0661643   0.0661643   0.0661643
-34   23   2   HF   0.109968   0.109968   0.109968   0.109968
-35   23   1   HF   0.0754065   0.0754065   0.0754065   0.0754065
-35   23   2   HF   0.120129   0.120129   0.120129   0.120129
-36   23   1   HF   0.0837241   0.0837241   0.0837241   0.0837241
-36   23   2   HF   0.122731   0.122731   0.122731   0.122731
-37   23   1   HF   0.0808912   0.0808912   0.0808912   0.0808912
-37   23   2   HF   0.133909   0.133909   0.133909   0.133909
-38   23   1   HF   0.0807197   0.0807197   0.0807197   0.0807197
-38   23   2   HF   0.133001   0.133001   0.133001   0.133001
-39   23   1   HF   0.0965012   0.0965012   0.0965012   0.0965012
-39   23   2   HF   0.144078   0.144078   0.144078   0.144078
-29   25   1   HF   0.0681167   0.0681167   0.0681167   0.0681167
-29   25   2   HF   0.106758   0.106758   0.106758   0.106758
-30   25   1   HF   0.0743105   0.0743105   0.0743105   0.0743105
-30   25   2   HF   0.103341   0.103341   0.103341   0.103341
-31   25   1   HF   0.0701787   0.0701787   0.0701787   0.0701787
-31   25   2   HF   0.0856509   0.0856509   0.0856509   0.0856509
-32   25   1   HF   0.0516154   0.0516154   0.0516154   0.0516154
-32   25   2   HF   0.0942465   0.0942465   0.0942465   0.0942465
-33   25   1   HF   0.0725981   0.0725981   0.0725981   0.0725981
-33   25   2   HF   0.125453   0.125453   0.125453   0.125453
-34   25   1   HF   0.0758359   0.0758359   0.0758359   0.0758359
-34   25   2   HF   0.101958   0.101958   0.101958   0.101958
-35   25   1   HF   0.0766326   0.0766326   0.0766326   0.0766326
-35   25   2   HF   0.092775   0.092775   0.092775   0.092775
-36   25   1   HF   0.0840027   0.0840027   0.0840027   0.0840027
-36   25   2   HF   0.127927   0.127927   0.127927   0.127927
-37   25   1   HF   0.09795   0.09795   0.09795   0.09795
-37   25   2   HF   0.15244   0.15244   0.15244   0.15244
-38   25   1   HF   0.0676373   0.0676373   0.0676373   0.0676373
-38   25   2   HF   0.127921   0.127921   0.127921   0.127921
-39   25   1   HF   0.0720016   0.0720016   0.0720016   0.0720016
-39   25   2   HF   0.108277   0.108277   0.108277   0.108277
-40   25   1   HF   0.078375   0.078375   0.078375   0.078375
-40   25   2   HF   0.127559   0.127559   0.127559   0.127559
-41   25   1   HF   0.0901597   0.0901597   0.0901597   0.0901597
-41   25   2   HF   0.162156   0.162156   0.162156   0.162156
-29   27   1   HF   0.0618675   0.0618675   0.0618675   0.0618675
-29   27   2   HF   0.103942   0.103942   0.103942   0.103942
-30   27   1   HF   0.0617318   0.0617318   0.0617318   0.0617318
-30   27   2   HF   0.0899092   0.0899092   0.0899092   0.0899092
-31   27   1   HF   0.0622307   0.0622307   0.0622307   0.0622307
-31   27   2   HF   0.108227   0.108227   0.108227   0.108227
-32   27   1   HF   0.0581521   0.0581521   0.0581521   0.0581521
-32   27   2   HF   0.0967003   0.0967003   0.0967003   0.0967003
-33   27   1   HF   0.0786247   0.0786247   0.0786247   0.0786247
-33   27   2   HF   0.142073   0.142073   0.142073   0.142073
-34   27   1   HF   0.0800348   0.0800348   0.0800348   0.0800348
-34   27   2   HF   0.121967   0.121967   0.121967   0.121967
-35   27   1   HF   0.0686069   0.0686069   0.0686069   0.0686069
-35   27   2   HF   0.106309   0.106309   0.106309   0.106309
-36   27   1   HF   0.0711211   0.0711211   0.0711211   0.0711211
-36   27   2   HF   0.124588   0.124588   0.124588   0.124588
-37   27   1   HF   0.0931594   0.0931594   0.0931594   0.0931594
-37   27   2   HF   0.139772   0.139772   0.139772   0.139772
-38   27   1   HF   0.0892914   0.0892914   0.0892914   0.0892914
-38   27   2   HF   0.136049   0.136049   0.136049   0.136049
-39   27   1   HF   0.0869468   0.0869468   0.0869468   0.0869468
-39   27   2   HF   0.121826   0.121826   0.121826   0.121826
-29   29   1   HF   0.061217   0.061217   0.061217   0.061217
-29   29   2   HF   0.103904   0.103904   0.103904   0.103904
-30   29   1   HF   0.0678522   0.0678522   0.0678522   0.0678522
-30   29   2   HF   0.0999404   0.0999404   0.0999404   0.0999404
-31   29   1   HF   0.0589993   0.0589993   0.0589993   0.0589993
-31   29   2   HF   0.0911694   0.0911694   0.0911694   0.0911694
-32   29   1   HF   0.0590864   0.0590864   0.0590864   0.0590864
-32   29   2   HF   0.0971098   0.0971098   0.0971098   0.0971098
-33   29   1   HF   0.0768076   0.0768076   0.0768076   0.0768076
-33   29   2   HF   0.114395   0.114395   0.114395   0.114395
-34   29   1   HF   0.07689   0.07689   0.07689   0.07689
-34   29   2   HF   0.12094   0.12094   0.12094   0.12094
-35   29   1   HF   0.0594556   0.0594556   0.0594556   0.0594556
-35   29   2   HF   0.11349   0.11349   0.11349   0.11349
-36   29   1   HF   0.0708323   0.0708323   0.0708323   0.0708323
-36   29   2   HF   0.111808   0.111808   0.111808   0.111808
-37   29   1   HF   0.100247   0.100247   0.100247   0.100247
-37   29   2   HF   0.138465   0.138465   0.138465   0.138465
-38   29   1   HF   0.0800175   0.0800175   0.0800175   0.0800175
-38   29   2   HF   0.0950724   0.0950724   0.0950724   0.0950724
-39   29   1   HF   0.0696418   0.0696418   0.0696418   0.0696418
-39   29   2   HF   0.159395   0.159395   0.159395   0.159395
-40   29   1   HF   0.0839286   0.0839286   0.0839286   0.0839286
-40   29   2   HF   0.126789   0.126789   0.126789   0.126789
-41   29   1   HF   0.0926281   0.0926281   0.0926281   0.0926281
-41   29   2   HF   0.158957   0.158957   0.158957   0.158957
-29   31   1   HF   0.0668404   0.0668404   0.0668404   0.0668404
-29   31   2   HF   0.086029   0.086029   0.086029   0.086029
-30   31   1   HF   0.0622608   0.0622608   0.0622608   0.0622608
-30   31   2   HF   0.114911   0.114911   0.114911   0.114911
-31   31   1   HF   0.0520305   0.0520305   0.0520305   0.0520305
-31   31   2   HF   0.107805   0.107805   0.107805   0.107805
-32   31   1   HF   0.0607684   0.0607684   0.0607684   0.0607684
-32   31   2   HF   0.112665   0.112665   0.112665   0.112665
-33   31   1   HF   0.0642433   0.0642433   0.0642433   0.0642433
-33   31   2   HF   0.0907233   0.0907233   0.0907233   0.0907233
-34   31   1   HF   0.0737275   0.0737275   0.0737275   0.0737275
-34   31   2   HF   0.0981099   0.0981099   0.0981099   0.0981099
-35   31   1   HF   0.0666334   0.0666334   0.0666334   0.0666334
-35   31   2   HF   0.0913341   0.0913341   0.0913341   0.0913341
-36   31   1   HF   0.0525888   0.0525888   0.0525888   0.0525888
-36   31   2   HF   0   0   0   0
-37   31   1   HF   0.078962   0.078962   0.078962   0.078962
-37   31   2   HF   0.127283   0.127283   0.127283   0.127283
-38   31   1   HF   0.0882339   0.0882339   0.0882339   0.0882339
-38   31   2   HF   0.151643   0.151643   0.151643   0.151643
-39   31   1   HF   0.0803444   0.0803444   0.0803444   0.0803444
-39   31   2   HF   0.104794   0.104794   0.104794   0.104794
-29   33   1   HF   0.0657894   0.0657894   0.0657894   0.0657894
-29   33   2   HF   0.151329   0.151329   0.151329   0.151329
-30   33   1   HF   0.0638855   0.0638855   0.0638855   0.0638855
-30   33   2   HF   0.0997417   0.0997417   0.0997417   0.0997417
-31   33   1   HF   0.0640492   0.0640492   0.0640492   0.0640492
-31   33   2   HF   0.0952709   0.0952709   0.0952709   0.0952709
-32   33   1   HF   0.0664901   0.0664901   0.0664901   0.0664901
-32   33   2   HF   0.0890152   0.0890152   0.0890152   0.0890152
-33   33   1   HF   0.0856894   0.0856894   0.0856894   0.0856894
-33   33   2   HF   0.104452   0.104452   0.104452   0.104452
-34   33   1   HF   0.0703879   0.0703879   0.0703879   0.0703879
-34   33   2   HF   0.103988   0.103988   0.103988   0.103988
-35   33   1   HF   0.0632053   0.0632053   0.0632053   0.0632053
-35   33   2   HF   0.112532   0.112532   0.112532   0.112532
-36   33   1   HF   0.0759997   0.0759997   0.0759997   0.0759997
-36   33   2   HF   0.118699   0.118699   0.118699   0.118699
-37   33   1   HF   0.0775676   0.0775676   0.0775676   0.0775676
-37   33   2   HF   0.126023   0.126023   0.126023   0.126023
-38   33   1   HF   0.0744935   0.0744935   0.0744935   0.0744935
-38   33   2   HF   0.126272   0.126272   0.126272   0.126272
-39   33   1   HF   0.0712097   0.0712097   0.0712097   0.0712097
-39   33   2   HF   0.132337   0.132337   0.132337   0.132337
-40   33   1   HF   0.0785931   0.0785931   0.0785931   0.0785931
-40   33   2   HF   0.121514   0.121514   0.121514   0.121514
-41   33   1   HF   0.0773102   0.0773102   0.0773102   0.0773102
-41   33   2   HF   0.122255   0.122255   0.122255   0.122255
-29   35   1   HF   0.0610321   0.0610321   0.0610321   0.0610321
-29   35   2   HF   0.105092   0.105092   0.105092   0.105092
-30   35   1   HF   0.0640318   0.0640318   0.0640318   0.0640318
-30   35   2   HF   0.13227   0.13227   0.13227   0.13227
-31   35   1   HF   0.0703331   0.0703331   0.0703331   0.0703331
-31   35   2   HF   0.10731   0.10731   0.10731   0.10731
-32   35   1   HF   0.0727171   0.0727171   0.0727171   0.0727171
-32   35   2   HF   0.0938783   0.0938783   0.0938783   0.0938783
-33   35   1   HF   0.0827529   0.0827529   0.0827529   0.0827529
-33   35   2   HF   0.0926798   0.0926798   0.0926798   0.0926798
-34   35   1   HF   0.0718896   0.0718896   0.0718896   0.0718896
-34   35   2   HF   0.127539   0.127539   0.127539   0.127539
-35   35   1   HF   0.0708421   0.0708421   0.0708421   0.0708421
-35   35   2   HF   0.0774945   0.0774945   0.0774945   0.0774945
-36   35   1   HF   0.0771802   0.0771802   0.0771802   0.0771802
-36   35   2   HF   0.0996775   0.0996775   0.0996775   0.0996775
-37   35   1   HF   0.0749581   0.0749581   0.0749581   0.0749581
-37   35   2   HF   0.119889   0.119889   0.119889   0.119889
-38   35   1   HF   0.0861749   0.0861749   0.0861749   0.0861749
-38   35   2   HF   0.132781   0.132781   0.132781   0.132781
-39   35   1   HF   0.0853619   0.0853619   0.0853619   0.0853619
-39   35   2   HF   0.143916   0.143916   0.143916   0.143916
-29   37   1   HF   0.0652387   0.0652387   0.0652387   0.0652387
-29   37   2   HF   0.113289   0.113289   0.113289   0.113289
-30   37   1   HF   0.055175   0.055175   0.055175   0.055175
