#  eta   phi   dep   det    value 
   -15   5    2    HB    1.10425619135
   -16   5    1    HB    1.12891258136
   -16   5    2    HB    1.10056415235
   -1   6    1    HB    1.07873197764
   -2   6    1    HB    1.07329852387
   -3   6    1    HB    1.03778000174
   -4   6    1    HB    1.11547002113
   -5   6    1    HB    1.05186538075
   -6   6    1    HB    1.14784337705
   -7   6    1    HB    1.05021224351
   -8   6    1    HB    1.00006999942
   -9   6    1    HB    1.04817500106
   -10   6    1    HB    1.17003023455
   -11   6    1    HB    1.08915724343
   -12   6    1    HB    1.02949346904
   -13   6    1    HB    1.04660054111
   -14   6    1    HB    1.14373083761
   -15   6    1    HB    1.09029340051
   -15   6    2    HB    1.11721943241
   -16   6    1    HB    1.04062507057
   -16   6    2    HB    0.98673995858
   -1   7    1    HB    1.19725026808
   -2   7    1    HB    1.06519069674
   -3   7    1    HB    1.14236522427
   -4   7    1    HB    1.12865000605
   -5   7    1    HB    1.21359325921
   -6   7    1    HB    1.09916307622
   -7   7    1    HB    1.08175552192
   -8   7    1    HB    1.02266278318
   -9   7    1    HB    0.979502588469
   -10   7    1    HB    1.07721951965
   -11   7    1    HB    1.14665888592
   -12   7    1    HB    1.10446047727
   -13   7    1    HB    1.08793217567
   -14   7    1    HB    1.11880246881
   -15   7    1    HB    1.10870358741
   -15   7    2    HB    1.10379442919
   -16   7    1    HB    0.994159939433
   -16   7    2    HB    1.09848603431
   -1   8    1    HB    1.00106767076
   -2   8    1    HB    1.03935822965
   -3   8    1    HB    1.06334526981
   -4   8    1    HB    1.01699430325
   -5   8    1    HB    1.06485010525
   -6   8    1    HB    1.18545814828
   -7   8    1    HB    1.13160086643
   -8   8    1    HB    1.04644642063
   -9   8    1    HB    1.07578542572
   -10   8    1    HB    1.12997378082
   -11   8    1    HB    1.03409669598
   -12   8    1    HB    1.07510789819
   -13   8    1    HB    1.12754051489
   -14   8    1    HB    0.989184954864
   -15   8    1    HB    1.1532453946
   -15   8    2    HB    1.20782639079
   -16   8    1    HB    1.11156726627
   -16   8    2    HB    1.100023057
   -1   9    1    HB    1.0827475925
   -2   9    1    HB    1.17639759612
   -3   9    1    HB    1.02915517475
   -4   9    1    HB    1.02972118861
   -5   9    1    HB    1.15515965893
   -6   9    1    HB    1.08134900523
   -7   9    1    HB    1.09918164766
   -8   9    1    HB    1.01389253143
   -9   9    1    HB    1.15476216798
   -10   9    1    HB    1.14891069667
   -11   9    1    HB    1.00413204918
   -12   9    1    HB    1.10596957995
   -13   9    1    HB    1.11517682104
   -14   9    1    HB    1.10773583278
   -15   9    1    HB    1.05520961977
   -15   9    2    HB    1.11558632598
   -16   9    1    HB    1.02489152985
   -16   9    2    HB    1.09921507296
   -1   10    1    HB    1.05707978184
   -2   10    1    HB    1.04102038548
   -3   10    1    HB    1.07199746712
   -4   10    1    HB    1.12802775499
   -5   10    1    HB    1.07013853343
   -6   10    1    HB    1.0152441586
   -7   10    1    HB    1.15821705434
   -8   10    1    HB    1.16967518932
   -9   10    1    HB    1.0818693253
   -10   10    1    HB    1.13353830658
   -11   10    1    HB    1.13674101494
   -12   10    1    HB    1.07499969876
   -13   10    1    HB    1.10706400232
   -14   10    1    HB    1.06118557857
   -15   10    1    HB    1.13471844286
   -15   10    2    HB    1.10803694181
   -16   10    1    HB    1.1560050584
   -16   10    2    HB    1.07539393988
   -1   11    1    HB    1.11231397734
   -2   11    1    HB    1.03015199632
   -3   11    1    HB    1.05055604329
   -4   11    1    HB    1.05594476089
   -5   11    1    HB    1.09493954247
   -6   11    1    HB    1.14486482329
   -7   11    1    HB    1.07258502638
   -8   11    1    HB    1.09157134004
   -9   11    1    HB    1.22187161683
   -10   11    1    HB    1.07028599073
   -11   11    1    HB    1.06707814698
   -12   11    1    HB    1.09872554348
   -13   11    1    HB    1.05805570268
   -14   11    1    HB    1.15944235232
   -15   11    1    HB    1.09306744823
   -15   11    2    HB    1.08251523487
   -16   11    1    HB    1.1182061522
   -16   11    2    HB    1.0965895792
   -1   12    1    HB    1.07605878831
   -2   12    1    HB    1.11747118969
   -3   12    1    HB    1.10062444125
   -4   12    1    HB    1.12544680906
   -5   12    1    HB    1.18144536652
   -6   12    1    HB    1.07180931378
   -7   12    1    HB    1.15364677513
   -8   12    1    HB    1.10275708812
   -9   12    1    HB    1.03512373956
   -10   12    1    HB    1.12904477886
   -11   12    1    HB    1.05815561621
   -12   12    1    HB    0.980169461236
   -13   12    1    HB    1.21965047457
   -14   12    1    HB    1.07215817383
   -15   12    1    HB    1.0941303529
   -15   12    2    HB    1.1682995557
   -16   12    1    HB    1.07628913655
   -16   12    2    HB    1.19452754411
   -1   13    1    HB    1.11635773777
   -2   13    1    HB    1.05678057274
   -3   13    1    HB    1.0540476572
   -4   13    1    HB    1.19162785909
   -5   13    1    HB    1.11378815925
   -6   13    1    HB    1.18479775889
   -7   13    1    HB    1.21965353723
   -8   13    1    HB    1.03576015805
   -9   13    1    HB    1.13940717109
   -10   13    1    HB    1.17092487768
   -11   13    1    HB    1.1067272425
   -12   13    1    HB    1.2025818464
   -13   13    1    HB    1.07292337336
   -14   13    1    HB    1.0932042893
   -15   13    1    HB    1.0570777863
   -15   13    2    HB    1.10680841668
   -16   13    1    HB    1.10189723182
   -16   13    2    HB    1.10862023523
   -1   14    1    HB    1.02551113142
   -2   14    1    HB    1.05572752448
   -3   14    1    HB    1.10328603056
   -4   14    1    HB    1.07798041069
   -5   14    1    HB    1.0750770826
   -6   14    1    HB    1.04789742047
   -7   14    1    HB    1.07815439998
   -8   14    1    HB    1.10306703273
   -9   14    1    HB    1.14361923569
   -10   14    1    HB    1.00639541442
   -11   14    1    HB    1.09577625309
   -12   14    1    HB    1.05853663098
   -13   14    1    HB    1.13633824484
   -14   14    1    HB    1.13997280116
   -15   14    1    HB    0.994006166502
   -15   14    2    HB    1.12517321328
   -16   14    1    HB    1.13743531294
   -16   14    2    HB    1.14126739743
   -1   15    1    HB    1.13641027223
   -2   15    1    HB    1.07963601935
   -3   15    1    HB    1.03398991142
   -4   15    1    HB    1.13148808939
   -5   15    1    HB    1.02674189231
   -6   15    1    HB    1.0636996714
   -7   15    1    HB    1.14836103192
   -8   15    1    HB    1.0957475757
   -9   15    1    HB    1.0258696997
   -10   15    1    HB    1.15093270073
   -11   15    1    HB    1.06518939051
   -12   15    1    HB    1.03066834464
   -13   15    1    HB    1.03739875104
   -14   15    1    HB    1.14816583361
   -15   15    1    HB    1.12131702562
   -15   15    2    HB    1.09116233046
   -16   15    1    HB    1.07265670515
   -16   15    2    HB    1.11071119061
   -1   16    1    HB    1.10586143544
   -2   16    1    HB    1.13260761884
   -3   16    1    HB    1.01009532216
   -4   16    1    HB    1.09073928471
   -5   16    1    HB    1.08757389422
   -6   16    1    HB    1.06265287511
   -7   16    1    HB    1.12311550247
   -8   16    1    HB    1.00656091643
   -9   16    1    HB    1.06498135243
   -10   16    1    HB    1.0824663549
   -11   16    1    HB    1.08079525875
   -12   16    1    HB    1.17193677084
   -13   16    1    HB    1.10394561733
   -14   16    1    HB    1.15024368303
   -15   16    1    HB    1.11224882387
   -15   16    2    HB    1.07257891361
   -16   16    1    HB    1.01564600528
   -16   16    2    HB    1.13213568441
   -1   17    1    HB    1.09627535561
   -2   17    1    HB    1.08754909829
   -3   17    1    HB    1.14415149782
   -4   17    1    HB    1.07731002956
   -5   17    1    HB    1.15574518158
   -6   17    1    HB    1.17984578296
   -7   17    1    HB    1.07356527606
   -8   17    1    HB    1.14504461983
   -9   17    1    HB    1.10163164436
   -10   17    1    HB    1.1223640837
   -11   17    1    HB    1.05593000158
   -12   17    1    HB    1.20918053563
   -13   17    1    HB    1.10250346156
   -14   17    1    HB    1.17446191643
   -15   17    1    HB    1.07211903044
   -15   17    2    HB    1.06064764997
   -16   17    1    HB    1.18799032699
   -16   17    2    HB    1.15165303436
   -1   18    1    HB    1.08902083807
   -2   18    1    HB    1.08959534853
   -3   18    1    HB    1.04557570371
   -4   18    1    HB    1.15138904189
   -5   18    1    HB    1.10036350005
   -6   18    1    HB    1.19237690778
   -7   18    1    HB    1.185379053
   -8   18    1    HB    1.07270556395
   -9   18    1    HB    1.11051826093
   -10   18    1    HB    1.12083833963
   -11   18    1    HB    1.1026130438
   -12   18    1    HB    1.00833767318
   -13   18    1    HB    1.17135032845
   -14   18    1    HB    1.10739836658
   -15   18    1    HB    1.1683858758
   -15   18    2    HB    1.04178957045
   -16   18    1    HB    1.10861358084
   -16   18    2    HB    1.05544384105
   -1   19    1    HB    1.13885671043
   -2   19    1    HB    1.07684561396
   -3   19    1    HB    1.06698891776
   -4   19    1    HB    1.11912496846
   -5   19    1    HB    1.12610041847
   -6   19    1    HB    1.15301976993
   -7   19    1    HB    1.06549460242
   -8   19    1    HB    1.05435094131
   -9   19    1    HB    1.1485562184
   -10   19    1    HB    1.12934594034
   -11   19    1    HB    1.15235667652
   -12   19    1    HB    1.18903401162
   -13   19    1    HB    0.981914606405
   -14   19    1    HB    1.10315546955
   -15   19    1    HB    1.07040288764
   -15   19    2    HB    1.11252082923
   -16   19    1    HB    1.11986157382
   -16   19    2    HB    1.04294961457
   -1   20    1    HB    1.10159983367
   -2   20    1    HB    1.11715189761
   -3   20    1    HB    1.05606078446
   -4   20    1    HB    1.099519046
   -5   20    1    HB    1.17374683858
   -6   20    1    HB    1.09429743417
   -7   20    1    HB    1.14184640283
   -8   20    1    HB    1.10640914536
   -9   20    1    HB    1.05056281294
   -10   20    1    HB    1.19758344716
   -11   20    1    HB    1.06792237614
   -12   20    1    HB    1.03888357475
   -13   20    1    HB    1.15726922951
   -14   20    1    HB    1.1207496195
   -15   20    1    HB    1.11724013791
   -15   20    2    HB    1.11837688112
   -16   20    1    HB    1.09107161456
   -16   20    2    HB    1.03553201459
   -1   21    1    HB    1.21356666904
   -2   21    1    HB    1.07357550055
   -3   21    1    HB    1.10494462054
   -4   21    1    HB    1.12162440151
   -5   21    1    HB    1.12652481208
   -6   21    1    HB    1.10775897136
   -7   21    1    HB    1.05355189294
   -8   21    1    HB    1.06004763879
   -9   21    1    HB    1.14750256513
   -10   21    1    HB    1.13553801713
   -11   21    1    HB    1.06692117536
   -12   21    1    HB    1.11781526638
   -13   21    1    HB    1.04501100165
   -14   21    1    HB    1.15182993749
   -15   21    1    HB    1.08801440279
   -15   21    2    HB    1.09638049593
   -16   21    1    HB    1.08663886475
   -16   21    2    HB    1.11358375079
   -1   22    1    HB    1.09460907029
   -2   22    1    HB    1.03679906961
   -3   22    1    HB    1.05723368402
   -4   22    1    HB    1.12118697691
   -5   22    1    HB    1.07836122369
   -6   22    1    HB    1.05479742758
   -7   22    1    HB    1.13496990254
   -8   22    1    HB    1.07866814725
   -9   22    1    HB    1.14168851391
   -10   22    1    HB    1.08008389972
   -11   22    1    HB    1.13952063317
   -12   22    1    HB    1.14420842577
   -13   22    1    HB    1.19241536848
   -14   22    1    HB    1.14722631569
   -15   22    1    HB    1.0505645278
   -15   22    2    HB    1.10645950558
   -16   22    1    HB    1.09445058302
   -16   22    2    HB    1.00633364345
   -1   23    1    HB    1.06007493769
   -2   23    1    HB    1.05186953135
   -3   23    1    HB    1.09519333962
   -4   23    1    HB    1.1156760652
   -5   23    1    HB    1.18040669939
   -6   23    1    HB    1.01471808881
   -7   23    1    HB    1.14477263944
   -8   23    1    HB    1.13323914672
   -9   23    1    HB    1.11375105505
   -10   23    1    HB    1.14252056717
   -11   23    1    HB    1.14134900046
   -12   23    1    HB    1.09911715871
   -13   23    1    HB    1.18143809006
   -14   23    1    HB    1.06192952988
   -15   23    1    HB    1.16350874556
   -15   23    2    HB    1.11626997212
   -16   23    1    HB    1.06375491623
   -16   23    2    HB    0.988753165854
   -1   24    1    HB    1.11858725944
   -2   24    1    HB    1.17306200704
   -3   24    1    HB    1.1129316996
   -4   24    1    HB    1.14506625915
   -5   24    1    HB    1.13839328032
   -6   24    1    HB    1.12595363541
   -7   24    1    HB    1.07652118999
   -8   24    1    HB    1.02884927718
   -9   24    1    HB    1.06431058553
   -10   24    1    HB    1.14074645359
   -11   24    1    HB    1.14141553973
   -12   24    1    HB    1.08810121063
   -13   24    1    HB    1.06427382971
   -14   24    1    HB    1.01325154815
   -15   24    1    HB    1.10837591231
   -15   24    2    HB    1.12698631053
   -16   24    1    HB    1.08254046839
   -16   24    2    HB    1.10310241605
   -1   25    1    HB    1.17195468049
   -2   25    1    HB    1.10373242367
   -3   25    1    HB    1.17038172646
   -4   25    1    HB    1.08511290455
   -5   25    1    HB    1.13007830454
   -6   25    1    HB    1.10707482263
   -7   25    1    HB    1.16937434971
   -8   25    1    HB    1.12627503028
   -9   25    1    HB    1.06782215476
   -10   25    1    HB    1.03342024935
   -11   25    1    HB    1.10108805434
   -12   25    1    HB    1.06979158132
   -13   25    1    HB    1.16193940812
   -14   25    1    HB    1.10426761713
   -15   25    1    HB    1.06975443537
   -15   25    2    HB    1.12533509788
   -16   25    1    HB    1.13574668564
   -16   25    2    HB    1.0928235299
   -1   26    1    HB    1.06393675727
   -2   26    1    HB    1.18537979927
   -3   26    1    HB    1.13366130907
   -4   26    1    HB    1.01043040748
   -5   26    1    HB    1.18427190404
   -6   26    1    HB    1.08189356995
   -7   26    1    HB    1.1446542251
   -8   26    1    HB    1.14271458893
   -9   26    1    HB    1.1528213177
   -10   26    1    HB    1.05077961802
   -11   26    1    HB    1.10469172304
   -12   26    1    HB    1.14485162941
   -13   26    1    HB    1.18043880437
   -14   26    1    HB    1.03290536034
   -15   26    1    HB    1.07223750712
   -15   26    2    HB    1.0264799309
   -16   26    1    HB    1.01702284708
   -16   26    2    HB    1.08668603023
   -1   27    1    HB    1.05389946915
   -2   27    1    HB    1.09530793743
   -3   27    1    HB    1.06539100114
   -4   27    1    HB    1.06067157006
   -5   27    1    HB    1.01188552974
   -6   27    1    HB    1.10898786462
   -7   27    1    HB    1.18804742121
   -8   27    1    HB    1.21122610031
   -9   27    1    HB    1.01706168903
   -10   27    1    HB    1.09791822404
   -11   27    1    HB    1.11743354434
   -12   27    1    HB    1.13908618345
   -13   27    1    HB    1.11125484724
   -14   27    1    HB    1.12630824304
   -15   27    1    HB    1.14678057399
   -15   27    2    HB    1.16778758164
   -16   27    1    HB    1.05549765606
   -16   27    2    HB    1.10452420353
   -1   28    1    HB    1.06190430586
   -2   28    1    HB    1.02158326229
   -3   28    1    HB    1.08343709647
   -4   28    1    HB    1.05723973247
   -5   28    1    HB    1.11620887021
   -6   28    1    HB    1.13838052624
   -7   28    1    HB    1.0323555374
   -8   28    1    HB    1.1042785213
   -9   28    1    HB    1.114190354
   -10   28    1    HB    1.23317032972
   -11   28    1    HB    1.09154629845
   -12   28    1    HB    1.10119497704
   -13   28    1    HB    1.14304240188
   -14   28    1    HB    1.0297408888
   -15   28    1    HB    1.0889095172
   -15   28    2    HB    1.18260796569
   -16   28    1    HB    1.11462267313
   -16   28    2    HB    1.18926909208
   -1   29    1    HB    1.17827424968
   -2   29    1    HB    1.07962396321
   -3   29    1    HB    1.14719306035
   -4   29    1    HB    1.18205922091
   -5   29    1    HB    1.06120541263
   -6   29    1    HB    1.12521043957
   -7   29    1    HB    1.1228413893
   -8   29    1    HB    1.04478516688
   -9   29    1    HB    1.13657292581
   -10   29    1    HB    1.11990396047
   -11   29    1    HB    1.04688878455
   -12   29    1    HB    1.10060043168
   -13   29    1    HB    1.0301115664
   -14   29    1    HB    1.14502742675
   -15   29    1    HB    1.17197383424
   -15   29    2    HB    1.01685564344
   -16   29    1    HB    1.05840622956
   -16   29    2    HB    1.05896541867
   -1   30    1    HB    1.29578532852
   -2   30    1    HB    1.03366423987
   -3   30    1    HB    1.08157194783
   -4   30    1    HB    1.14326617971
   -5   30    1    HB    1.1042134687
   -6   30    1    HB    1.08125842286
   -7   30    1    HB    1.1975101833
   -8   30    1    HB    1.05217823005
   -9   30    1    HB    1.05130170998
   -10   30    1    HB    1.00361711327
   -11   30    1    HB    1.17339778185
   -12   30    1    HB    1.12630594531
   -13   30    1    HB    1.19409891634
   -14   30    1    HB    1.08653353291
   -15   30    1    HB    1.07594446627
   -15   30    2    HB    1.07304099089
   -16   30    1    HB    1.19757992765
   -16   30    2    HB    0.983279872579
   -1   31    1    HB    1.1872323473
   -2   31    1    HB    1.07123947508
   -3   31    1    HB    1.09104594581
   -4   31    1    HB    1.14082792975
   -5   31    1    HB    1.08021892725
   -6   31    1    HB    1.15693799859
   -7   31    1    HB    1.1601378709
   -8   31    1    HB    1.08930964939
   -9   31    1    HB    1.1344637011
   -10   31    1    HB    1.17878387977
   -11   31    1    HB    1.01285642288
   -12   31    1    HB    1.12467896165
   -13   31    1    HB    1.04745094677
   -14   31    1    HB    1.0250197394
   -15   31    1    HB    1.06565814799
   -15   31    2    HB    1.04867542488
   -16   31    1    HB    1.15467757379
   -16   31    2    HB    1.08908371679
   -1   32    1    HB    1.1883077077
   -2   32    1    HB    1.07261254627
   -3   32    1    HB    1.07199474574
   -4   32    1    HB    1.10265622281
   -5   32    1    HB    1.0908356135
   -6   32    1    HB    1.08151824925
   -7   32    1    HB    1.07995349362
   -8   32    1    HB    1.15824109285
   -9   32    1    HB    1.12568961811
   -10   32    1    HB    1.10645775932
   -11   32    1    HB    1.06946471932
   -12   32    1    HB    1.04322599019
   -13   32    1    HB    1.0792442774
   -14   32    1    HB    1.18959268054
   -15   32    1    HB    1.07224735759
   -15   32    2    HB    1.07573851929
   -16   32    1    HB    0.998632374745
   -16   32    2    HB    1.07962386974
   -1   33    1    HB    1.15173542623
   -2   33    1    HB    1.10516812292
   -3   33    1    HB    1.03968406317
   -4   33    1    HB    1.0827816534
   -5   33    1    HB    1.07976806094
   -6   33    1    HB    1.08809197098
   -7   33    1    HB    1.0476828009
   -8   33    1    HB    1.13964177705
   -9   33    1    HB    1.12279281709
   -10   33    1    HB    1.09158781978
   -11   33    1    HB    1.11650459907
   -12   33    1    HB    1.07730665312
   -13   33    1    HB    1.13091155207
   -14   33    1    HB    1.1082662856
   -15   33    1    HB    1.12727920656
   -15   33    2    HB    1.11383453573
   -16   33    1    HB    1.05838774593
   -16   33    2    HB    1.08276620322
   -1   34    1    HB    1.09315391122
   -2   34    1    HB    1.11297692008
   -3   34    1    HB    1.07710988399
   -4   34    1    HB    1.07236166536
   -5   34    1    HB    1.09491217587
   -6   34    1    HB    1.08023094061
   -7   34    1    HB    1.00124692763
   -8   34    1    HB    1.13914430681
   -9   34    1    HB    1.07132707026
   -10   34    1    HB    1.05128524603
   -11   34    1    HB    1.07406959606
   -12   34    1    HB    1.07680134905
   -13   34    1    HB    1.09520914676
   -14   34    1    HB    1.10281448188
   -15   34    1    HB    1.11370700221
   -15   34    2    HB    1.08066798237
   -16   34    1    HB    1.05531747431
   -16   34    2    HB    1.09071327825
   -1   35    1    HB    1.20322911348
   -2   35    1    HB    1.12932603085
   -3   35    1    HB    1.02417587129
   -4   35    1    HB    1.06468266017
   -5   35    1    HB    1.15103690823
   -6   35    1    HB    1.06934521715
   -7   35    1    HB    1.12127964983
   -8   35    1    HB    1.12045497968
   -9   35    1    HB    1.11166759018
   -10   35    1    HB    1.02703877542
   -11   35    1    HB    1.03055548848
   -12   35    1    HB    1.10647103352
   -13   35    1    HB    1.12939271567
   -14   35    1    HB    1.08706780805
   -15   35    1    HB    1.15735032295
   -15   35    2    HB    1.17923748583
   -16   35    1    HB    1.13367542265
   -16   35    2    HB    1.11857409255
   -1   36    1    HB    1.1477486386
   -2   36    1    HB    0.969063290354
   -3   36    1    HB    1.13390721346
   -4   36    1    HB    1.11025884548
   -5   36    1    HB    1.07085628294
   -6   36    1    HB    1.15407809335
   -7   36    1    HB    1.08143089502
   -8   36    1    HB    1.10365537774
   -9   36    1    HB    1.13924436188
   -10   36    1    HB    1.03792534102
   -11   36    1    HB    1.1078310068
   -12   36    1    HB    1.09952147031
   -13   36    1    HB    1.13176067165
   -14   36    1    HB    1.11888865485
   -15   36    1    HB    1.14007096537
   -15   36    2    HB    1.13321593338
   -16   36    1    HB    1.07611449171
   -16   36    2    HB    1.07314362281
   -1   37    1    HB    1.0937180955
   -2   37    1    HB    1.0164674271
   -3   37    1    HB    0.991794130623
   -4   37    1    HB    1.10628452575
   -5   37    1    HB    1.11039910734
   -6   37    1    HB    1.14721066043
   -7   37    1    HB    1.11822353066
   -8   37    1    HB    1.08325017888
   -9   37    1    HB    1.05363844361
   -10   37    1    HB    1.14951567564
   -11   37    1    HB    1.01247206141
   -12   37    1    HB    1.11197047997
   -13   37    1    HB    1.0560568584
   -14   37    1    HB    1.07897076722
   -15   37    1    HB    1.03628745754
   -15   37    2    HB    1.0789527181
   -16   37    1    HB    1.08657581209
   -16   37    2    HB    1.06563026061
   -1   38    1    HB    1.03235646918
   -2   38    1    HB    1.03115964618
   -3   38    1    HB    1.05354172837
   -4   38    1    HB    0.98591567287
   -5   38    1    HB    1.06237363075
   -6   38    1    HB    1.04295206538
   -7   38    1    HB    1.08709137723
   -8   38    1    HB    1.14900338702
   -9   38    1    HB    1.11111661129
   -10   38    1    HB    1.07125544829
   -11   38    1    HB    1.09491995456
   -12   38    1    HB    1.2103469443
   -13   38    1    HB    1.13174759418
   -14   38    1    HB    1.08342660336
   -15   38    1    HB    1.10552199289
   -15   38    2    HB    1.18813435197
   -16   38    1    HB    1.14686912857
   -16   38    2    HB    1.03054141322
   -1   39    1    HB    1.04726720072
   -2   39    1    HB    1.14393313086
   -3   39    1    HB    1.06749446748
   -4   39    1    HB    1.08632037683
   -5   39    1    HB    1.07176249185
   -6   39    1    HB    1.11820522846
   -7   39    1    HB    1.08383971621
   -8   39    1    HB    1.14350155871
   -9   39    1    HB    1.06270297743
   -10   39    1    HB    1.04998729299
   -11   39    1    HB    1.06149378689
   -12   39    1    HB    1.17206866621
   -13   39    1    HB    1.06476620372
   -14   39    1    HB    0.983904920842
   -15   39    1    HB    0.998628962127
   -15   39    2    HB    1.15637947191
   -16   39    1    HB    1.07439369743
   -16   39    2    HB    1.03826043016
   -1   40    1    HB    1.13198845458
   -2   40    1    HB    1.05580689617
   -3   40    1    HB    1.15176349734
   -4   40    1    HB    1.06798153234
   -5   40    1    HB    1.041298192
   -6   40    1    HB    1.11443014231
   -7   40    1    HB    1.07986926886
   -8   40    1    HB    1.10808598834
   -9   40    1    HB    1.0809183026
   -10   40    1    HB    1.07338542703
   -11   40    1    HB    1.12416977789
   -12   40    1    HB    1.10425078922
   -13   40    1    HB    1.07250490594
   -14   40    1    HB    1.14241600256
   -15   40    1    HB    1.071562506
   -15   40    2    HB    1.17196618865
   -16   40    1    HB    1.18459886582
   -16   40    2    HB    1.17552518957
   -1   41    1    HB    1.08728719243
   -2   41    1    HB    1.12078295
   -3   41    1    HB    1.117703322
   -4   41    1    HB    1.06151855199
   -5   41    1    HB    1.0538363539
   -6   41    1    HB    1.18310216551
   -7   41    1    HB    1.1280383955
   -8   41    1    HB    1.17320851427
   -9   41    1    HB    1.03787388786
   -10   41    1    HB    1.13075162443
   -11   41    1    HB    1.0890844915
   -12   41    1    HB    1.10678269784
   -13   41    1    HB    1.17951854675
   -14   41    1    HB    1.07150484272
   -15   41    1    HB    1.11775174824
   -15   41    2    HB    1.22187404839
   -16   41    1    HB    1.15208311068
   -16   41    2    HB    1.06737307482
   -1   42    1    HB    1.05713567728
   -2   42    1    HB    1.05397634324
   -3   42    1    HB    1.09369644239
   -4   42    1    HB    1.14749795825
   -5   42    1    HB    1.05849713444
   -6   42    1    HB    1.11878524231
   -7   42    1    HB    0.999896055483
   -8   42    1    HB    1.16761012051
   -9   42    1    HB    1.09782926541
   -10   42    1    HB    1.14410590833
   -11   42    1    HB    1.10171351627
   -12   42    1    HB    1.17459911974
   -13   42    1    HB    0.998357352653
   -14   42    1    HB    1.03836768331
   -15   42    1    HB    1.15866076381
   -15   42    2    HB    1.04369215327
   -16   42    1    HB    1.03022394865
   -16   42    2    HB    1.13288658081
   -1   43    1    HB    1.15415209809
   -2   43    1    HB    1.08890823132
   -3   43    1    HB    1.07348304023
   -4   43    1    HB    1.07414741154
   -5   43    1    HB    0.993084149871
   -6   43    1    HB    1.07709269368
   -7   43    1    HB    1.07889495151
   -8   43    1    HB    1.07485055932
   -9   43    1    HB    1.18553087968
   -10   43    1    HB    1.07825607598
   -11   43    1    HB    1.08090484344
   -12   43    1    HB    1.05015233408
   -13   43    1    HB    1.08744585027
   -14   43    1    HB    1.12286571347
   -15   43    1    HB    1.10583903588
   -15   43    2    HB    1.08887033846
   -16   43    1    HB    0.996482949035
   -16   43    2    HB    1.17037724772
   -1   44    1    HB    1.23376999977
   -2   44    1    HB    1.01644732058
